epoch,loss,miou
0.000000000000000000e+00,1.609024882316589355e+00,5.476987920701503754e-03
1.000000000000000000e+00,1.377501130104064941e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.176988601684570312e+00,0.000000000000000000e+00
3.000000000000000000e+00,1.018769621849060059e+00,0.000000000000000000e+00
4.000000000000000000e+00,8.999310135841369629e-01,0.000000000000000000e+00
5.000000000000000000e+00,8.134123086929321289e-01,0.000000000000000000e+00
6.000000000000000000e+00,7.550511360168457031e-01,0.000000000000000000e+00
7.000000000000000000e+00,7.134370803833007812e-01,0.000000000000000000e+00
8.000000000000000000e+00,6.695631742477416992e-01,0.000000000000000000e+00
9.000000000000000000e+00,6.491076946258544922e-01,0.000000000000000000e+00
1.000000000000000000e+01,6.337909698486328125e-01,0.000000000000000000e+00
1.100000000000000000e+01,6.149539947509765625e-01,0.000000000000000000e+00
1.200000000000000000e+01,5.960753560066223145e-01,0.000000000000000000e+00
1.300000000000000000e+01,5.845549106597900391e-01,0.000000000000000000e+00
1.400000000000000000e+01,5.748523473739624023e-01,0.000000000000000000e+00
1.500000000000000000e+01,5.642100572586059570e-01,6.259914177159468622e-03
1.600000000000000000e+01,5.510605573654174805e-01,4.830421755711237358e-02
1.700000000000000000e+01,5.383929610252380371e-01,1.027738650639851842e-01
1.800000000000000000e+01,5.538634657859802246e-01,1.542778859535852976e-01
1.900000000000000000e+01,5.226365923881530762e-01,2.100665221611658640e-01
2.000000000000000000e+01,5.079264044761657715e-01,2.575289110342661725e-01
2.100000000000000000e+01,5.325849652290344238e-01,2.946716944376627789e-01
2.200000000000000000e+01,5.240623950958251953e-01,3.212699691454569684e-01
2.300000000000000000e+01,5.153123736381530762e-01,3.460609416166941510e-01
2.400000000000000000e+01,4.900958538055419922e-01,3.657085696856181012e-01
2.500000000000000000e+01,5.011376142501831055e-01,3.845984737078348981e-01
2.600000000000000000e+01,4.854243993759155273e-01,4.033734202384948730e-01
2.700000000000000000e+01,4.814288616180419922e-01,4.187121391296386719e-01
2.800000000000000000e+01,4.879815578460693359e-01,4.312592148780822754e-01
2.900000000000000000e+01,5.006633400917053223e-01,4.416177173455556049e-01
3.000000000000000000e+01,4.992048144340515137e-01,4.502049783865610944e-01
3.100000000000000000e+01,4.933227300643920898e-01,4.568404257297515869e-01
3.200000000000000000e+01,4.813497066497802734e-01,4.621040920416514264e-01
3.300000000000000000e+01,4.911575019359588623e-01,4.665229221185048236e-01
3.400000000000000000e+01,4.708024263381958008e-01,4.694064656893412457e-01
3.500000000000000000e+01,4.770175814628601074e-01,4.713668525218963623e-01
3.600000000000000000e+01,4.629327058792114258e-01,4.727330903212229596e-01
3.700000000000000000e+01,4.709855914115905762e-01,4.734375675519307269e-01
3.800000000000000000e+01,4.932371377944946289e-01,4.738832016785939349e-01
3.900000000000000000e+01,4.828373789787292480e-01,4.741216897964477539e-01
4.000000000000000000e+01,4.693292975425720215e-01,4.742688735326131000e-01
4.100000000000000000e+01,4.752030968666076660e-01,4.742800196011860980e-01
4.200000000000000000e+01,4.724205136299133301e-01,4.741545021533966064e-01
4.300000000000000000e+01,4.546244442462921143e-01,4.740399022897084369e-01
4.400000000000000000e+01,4.623658359050750732e-01,4.739235142866770611e-01
4.500000000000000000e+01,4.493241906166076660e-01,4.737837513287861957e-01
4.600000000000000000e+01,4.707850813865661621e-01,4.736582239468892230e-01
4.700000000000000000e+01,4.631720781326293945e-01,4.736081361770629883e-01
4.800000000000000000e+01,4.716942906379699707e-01,4.735937813917796002e-01
4.900000000000000000e+01,4.559729695320129395e-01,4.735937813917796002e-01
